Model,Train_RMSE,Train_R2,Temporal_RMSE,Temporal_R2,Spatial_RMSE,Spatial_R2,Train_Time,Inference_Time
OLS,458.2191555700617,0.3390528558126138,547.0264103037449,0.26523191612184616,647.4210780134794,0.2892772395216615,0.5783791542053223,0.24190855026245117
OLS,458.2191555700617,0.3390528558126138,547.0264103037449,0.26523191612184616,647.4210780134794,0.2892772395216615,0.5783791542053223,0.1244046688079834
LASSO,459.648805268077,0.3349220945408291,548.414631522056,0.26149785535751624,652.1833639311594,0.2787829459880513,0.5040886402130127,0.02719736099243164
Random Forest,402.37631022851735,0.4903347108937207,530.8889200450824,0.3079443516594432,652.8102606420421,0.27739577200209997,23.68535828590393,0.35858678817749023
Ridge,458.7693565458397,0.33746465468386255,547.4969277075209,0.26396737076025123,649.1253968058085,0.28553039669209623,4.430779933929443,0.02859354019165039
